"Jahr";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";
"Land";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";
"Thema";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";
"Januar";"";"558";"566";"512";"520";"533";"562";"569";"609";"642";"644";"628";"649";"691";"687";"738";"779";"859";"898";"1005";"1056";"1129";"303";"992";"1186";"1166";
"Februar";"";"664";"654";"628";"645";"662";"637";"649";"723";"801";"738";"695";"713";"764";"811";"871";"926";"1014";"1015";"1168";"1206";"1408";"359";"1077";"1307";"1407";
"März";"";"945";"927";"1170";"923";"951";"1205";"877";"1044";"1375";"1009";"1116";"1025";"1161";"1360";"1190";"1365";"1716";"1392";"1933";"1708";"959";"467";"1788";"1919";"2388";
"April";"";"1784";"1763";"1427";"1785";"1590";"1221";"1660";"1718";"1354";"1778";"1663";"2012";"1920";"1480";"2065";"1930";"1678";"2321";"2193";"2926";"149";"526";"3047";"3095";"2411";
"Mai";"";"2128";"2300";"2382";"2271";"2277";"2288";"2129";"2247";"2498";"2439";"2462";"2162";"2492";"2556";"2391";"2729";"2843";"2683";"3677";"3319";"1523";"2850";"3687";"3857";"4100";
"Juni";"";"2870";"2739";"2632";"2720";"2527";"2361";"2652";"2757";"2606";"2756";"2787";"3101";"2753";"2727";"2991";"2880";"2996";"3416";"3812";"4336";"3868";"4255";"4613";"4399";"4239";
"Juli";"";"4310";"4497";"4229";"3848";"3826";"4011";"4156";"4182";"4345";"4511";"4668";"4389";"4141";"4421";"4199";"4409";"4648";"4829";"5874";"6045";"5709";"6055";"6027";"5970";"5882";
"August";"";"4200";"4151";"4172";"4737";"4251";"4239";"4211";"4102";"4007";"4179";"4203";"4131";"4150";"4211";"4796";"4784";"4682";"4796";"5395";"5567";"5803";"6401";"6153";"5922";"6043";
"September";"";"2428";"2355";"2413";"2526";"2284";"2413";"2548";"2584";"2477";"2499";"2484";"2467";"2492";"2494";"2718";"2714";"2955";"3218";"3597";"3633";"4184";"4483";"3962";"4073";"3999";
"Oktober";"";"1785";"1846";"1830";"1812";"1759";"1867";"1928";"1855";"1958";"2028";"2035";"2037";"1988";"2064";"2205";"2285";"2478";"2669";"2907";"3139";"3419";"3857";"3271";"3278";"…";
"November";"";"819";"823";"803";"793";"804";"845";"883";"945";"929";"898";"934";"993";"1030";"1059";"1157";"1187";"1198";"1336";"1419";"1481";"462";"1561";"1511";"1501";"…";
"Dezember";"819";"706";"672";"654";"696";"668";"713";"781";"830";"863";"840";"796";"836";"902";"936";"1026";"1094";"1138";"1322";"1472";"1560";"312";"1268";"1408";"1529";"…";
"Durchschnitt";"";"1933";"1941";"1904";"1940";"1844";"1864";"1920";"1966";"1988";"2027";"2039";"2043";"2040";"2067";"2196";"2257";"2350";"2491";"2871";"2998";"2410";"2699";"3128";"3170";"";
"Insgesamt";"";"23197";"23293";"22852";"23276";"22132";"22362";"23043";"23596";"23855";"24319";"24471";"24515";"24484";"24806";"26347";"27083";"28205";"29895";"34452";"35976";"28925";"32385";"37536";"38036";"";
"";
"(1) Tourismus - Gästeübernachtungen"
"Einheit";"1000"
"Erläuterung";"in Betrieben mit 9 und mehr Betten und auf Campingplätzen. Ab Januar 2012: Betriebe ab 10 Betten; einschließlich Campingplätzen (Touristik-Camping) ab 10 Stellplätzen"
"Letzte Aktualisierung";"26.11.2024"
"© Statistisches Amt für Hamburg und Schleswig-Holstein: 2024"
