"Jahr";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";
"Land";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";
"Thema";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";
"Januar";"248928";"268338";"232260";"257825";"276665";"209534";"271224";"269509";"282078";"243793";"254510";"264932";"260671";"299495";"279194";"288642";"268947";"266537";"332305";"259832";"84872";"182026";"234310";"239783";
"Februar";"291449";"307652";"293076";"339995";"308954";"275101";"312380";"345128";"314423";"282923";"308449";"347925";"313030";"318648";"306310";"311323";"297396";"294646";"283659";"299129";"72992";"206480";"276276";"271504";
"März";"344949";"498026";"379746";"370773";"451064";"264113";"404218";"496457";"332614";"403981";"338090";"369198";"430519";"343404";"380872";"430849";"350930";"363313";"346298";"186633";"104573";"289237";"289473";"390369";
"April";"583103";"558702";"612892";"599305";"458096";"730438";"628692";"472623";"591456";"557687";"676354";"515286";"460184";"576434";"523220";"466900";"573714";"474990";"568641";"49274";"118666";"488149";"492904";"421221";
"Mai";"624558";"727838";"709238";"712277";"735084";"698327";"732167";"899341";"699947";"701002";"620346";"678675";"683617";"644092";"680295";"671486";"666182";"697242";"616719";"112092";"283355";"598586";"608648";"644074";
"Juni";"780190";"881773";"814273";"778967";"838563";"899790";"865187";"840669";"818164";"814820";"854672";"744433";"760979";"786341";"724519";"746346";"816840";"801198";"831988";"339754";"394869";"917074";"752678";"762748";
"Juli";"1446168";"1406564";"1333732";"1347057";"1254938";"1282322";"1243793";"1215419";"1236134";"1242470";"1147685";"1198634";"1117182";"1072608";"1039037";"1117200";"1131371";"1152121";"1093223";"612647";"735827";"1047624";"1039992";"…";
"August";"1194659";"1189322";"1167933";"1116977";"1189382";"1210320";"1214933";"1101425";"1142086";"1087349";"987596";"979752";"981377";"1019859";"1143942";"1219899";"1000459";"979003";"1012473";"600132";"791940";"1005938";"1013314";"…";
"September";"736118";"814506";"695807";"669581";"713117";"797764";"755376";"674159";"623550";"649300";"632907";"639894";"620918";"626590";"597497";"658597";"655208";"650161";"612104";"474612";"600888";"626900";"678786";"…";
"Oktober";"570646";"664905";"575587";"579471";"624413";"607708";"628444";"564925";"583839";"586830";"579436";"505252";"583750";"560672";"555213";"581383";"546593";"557483";"554757";"367484";"540669";"519000";"558741";"…";
"November";"285003";"376766";"337026";"327043";"341899";"330187";"355162";"341315";"318305";"328698";"391126";"429965";"344456";"366873";"324638";"331366";"344430";"308978";"364324";"137673";"280216";"280500";"303639";"…";
"Dezember";"348847";"359676";"342321";"361430";"340714";"389683";"391048";"388940";"364194";"322462";"340848";"355359";"365076";"363101";"384151";"376602";"386900";"335088";"372550";"123737";"238890";"316648";"323596";"…";
"Durchschnitt";"621218";"671172";"624491";"621725";"627741";"641274";"650219";"634159";"608899";"601776";"594335";"585775";"576813";"581510";"578241";"600049";"586581";"573397";"582420";"296917";"353980";"539847";"547696";"";
"Insgesamt";"7454618";"8054068";"7493891";"7460701";"7532889";"7695287";"7802624";"7609910";"7306790";"7221315";"7132019";"7029305";"6921759";"6978117";"6938888";"7200593";"7038970";"6880760";"6989041";"3562999";"4247757";"6478162";"6572357";"";
"";
"(1) Seeschifffahrt - Ausgestiegene Fahrgäste"
"Einheit";"Anzahl"
"Letzte Aktualisierung";"26.11.2024"
"© Statistisches Amt für Hamburg und Schleswig-Holstein: 2024"
