Jahr;2013;2014;2015;2016;2017;2018
Januar;247099;302451;285513;290027;269633;259471
Februar;317758;331167;328016;318608;309153;306568
Maerz;433414;379175;380606;440950;350884;396394
April;484982;590158;534471;474495;586707;503376
Mai;761993;662423;710066;757526;687627;720046
Juni;727826;766381;702683;719525;788939;761752
Juli;1233966;1120624;1109839;1178874;1191653;1202697
August;1000517;1090559;1167181;1062021;1049732;977319
September;604839;626936;583529;630817;628698;619121
Oktober;569884;558597;573696;579690;548999;542900
November;345765;378511;347714;338547;345453;308543
Dezember;381876;368487;359029;380698;389578;352610

